field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
225,1399,1.09359765128123745e-01,1.09359765145931251e-01,1.78075054702020452e-11
226,1400,1.07591664099823250e-01,1.07591664113899144e-01,1.40758932287710081e-11
227,1401,1.05820192337650137e-01,1.05820192344695224e-01,7.04508673621262460e-12
228,1402,1.04047679478835697e-01,1.04047679483379923e-01,4.54422610651761261e-12
229,1403,1.02275800216938675e-01,1.02275800225044525e-01,8.10584932509073042e-12
230,1404,1.00501140209023940e-01,1.00501140219506666e-01,1.04827257985107281e-11
231,1405,9.87339695186572330e-02,9.87339695410897056e-02,2.24324725461855223e-11
232,1406,9.69629774355463131e-02,9.69629774646125764e-02,2.90662632851379499e-11
233,1407,9.51831851765883169e-02,9.51831852031724129e-02,2.65840960356200640e-11
234,1408,9.34182714868989628e-02,9.34182715089857257e-02,2.20867629741050564e-11
235,1409,9.16461709450639289e-02,9.16461709714206929e-02,2.63567639935402553e-11
236,1410,8.98709490786068765e-02,8.98709491084551254e-02,2.98482488725326789e-11
237,1411,8.81011759632996799e-02,8.81011759994907578e-02,3.61910779123064685e-11
238,1412,8.63312787886855587e-02,8.63312788204049913e-02,3.17194326360237255e-11
239,1413,8.45633247738651339e-02,8.45633248110293639e-02,3.71642300267538417e-11
240,1414,8.27921174984314195e-02,8.27921175423704941e-02,4.39390746009848954e-11
241,1415,8.10250280919959931e-02,8.10250281408626816e-02,4.88666884734811902e-11
242,1416,7.92437974292911351e-02,7.92437974864528411e-02,5.71617059241802394e-11
243,1417,7.74762650485747162e-02,7.74762651053133022e-02,5.67385860517077845e-11
244,1418,7.57082531920086760e-02,7.57082532486593185e-02,5.66506425103696643e-11
245,1419,7.39351443702455646e-02,7.39351444075899006e-02,3.73443359569236577e-11
246,1420,7.21613065846427593e-02,7.21613066081902149e-02,2.35474556520287592e-11
247,1421,7.03921042627491389e-02,7.03921042992447094e-02,3.64955704545977255e-11
248,1422,6.86181483439552709e-02,6.86181483834409911e-02,3.94857202490328518e-11
249,1423,6.68460607768971288e-02,6.68460608137790013e-02,3.68818725560160487e-11
250,1424,6.50795237199961879e-02,6.50795237531267279e-02,3.31305399781101073e-11
251,1425,6.33051128246392841e-02,6.33051128524078632e-02,2.77685791028048357e-11
252,1426,6.15345758314524705e-02,6.15345758490766226e-02,1.76241521376852006e-11
253,1427,5.97670460866021255e-02,5.97670460768114017e-02,-9.79072378726186798e-12
254,1428,5.79895730534452647e-02,5.79895730336331475e-02,-1.98121172245713240e-11
255,1429,5.62245195215396107e-02,5.62245195071916434e-02,-1.43479672587432106e-11
256,1430,5.44529103822924201e-02,5.44529103685588156e-02,-1.37336045313851685e-11
257,1431,5.26793801859476996e-02,5.26793801748046339e-02,-1.11430656368760594e-11
258,1432,5.09101905669071403e-02,5.09101905641870800e-02,-2.72006028811944134e-12
