node_id,x_um,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
131,5.00000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
132,6.24999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000000e+02,0.00000000000000000e+00
133,7.49999999999999911e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
134,8.75000000000000000e+00,-1.00000000000000000e+01,-2.50000000000000000e+00,3.00000000000000000e+02,3.00000000000000057e+02,5.68434188608080149e-14
135,-8.75000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00003706836395679e+02,3.00003706836395736e+02,5.68434188608080149e-14
136,-7.49999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004060299875789e+02,3.00004060299875562e+02,-2.27373675443232059e-13
137,-6.24999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004628054187947e+02,3.00004628054187378e+02,-5.68434188608080149e-13
138,-5.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004830553183012e+02,3.00004830553182842e+02,-1.70530256582424045e-13
139,-3.74999999999999956e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006015933066124e+02,3.00006015933066124e+02,0.00000000000000000e+00
140,-2.50000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006066923413982e+02,3.00006066923413982e+02,0.00000000000000000e+00
141,-1.25000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006930884615713e+02,3.00006930884615940e+02,2.27373675443232059e-13
142,0.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006560740402733e+02,3.00006560740402620e+02,-1.13686837721616030e-13
143,1.25000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006860533174859e+02,3.00006860533174915e+02,5.68434188608080149e-14
144,2.50000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006235936487997e+02,3.00006235936487258e+02,-7.38964445190504193e-13
145,3.74999999999999956e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00006018019055489e+02,3.00006018019055489e+02,0.00000000000000000e+00
146,5.00000000000000000e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004918954967934e+02,3.00004918954967991e+02,5.68434188608080149e-14
147,6.24999999999999911e+00,-1.00000000000000000e+01,-2.00000000000000000e+00,3.00004596518609560e+02,3.00004596518609446e+02,-1.13686837721616030e-13
