cell_id,node_0,node_1,node_2,node_3,region_id,region_name
580,6659,7014,6661,1535,0,silica
581,1635,4994,1634,5608,0,silica
582,7032,4860,1639,4816,0,silica
583,7124,7125,7126,7127,0,silica
584,5679,5678,5677,4878,0,silica
585,7092,7093,7128,7129,0,silica
586,7130,7131,7132,457,0,silica
587,6317,5676,4877,4878,0,silica
588,7072,7033,1546,1547,0,silica
589,5982,1634,4994,5608,0,silica
590,7133,7134,7135,7123,0,silica
591,7136,1432,7137,4183,0,silica
592,7138,6826,7139,7140,0,silica
593,7141,7142,7143,7144,0,silica
594,7145,7146,7147,7148,0,silica
595,7149,6826,4354,3691,0,silica
596,7150,2746,312,2768,0,silica
597,7151,7152,7153,7154,0,silica
598,7155,2277,7156,2338,0,silica
599,5701,6094,4937,4938,0,silica
600,7157,7158,7159,7160,0,silica
601,7161,2735,573,574,0,silica
602,7162,4616,4603,4661,0,silica
603,7162,4531,4616,4655,0,silica
604,7163,2338,2210,2298,0,silica
605,7164,7165,7166,7167,0,silica
606,7168,7169,236,237,0,silica
607,7170,7171,6616,7172,0,silica
608,7173,2592,496,497,0,silica
609,7174,7175,7176,7177,0,silica
610,7136,7178,7179,3551,0,silica
611,7180,7181,7182,7046,0,silica
612,7183,4195,3552,4240,0,silica
613,7184,7185,7186,7176,0,silica
614,6578,7187,7188,6786,0,silica
615,7189,7190,7191,7192,0,silica
616,7193,7194,7195,7196,0,silica
617,7197,7198,7199,7200,0,silica
618,7201,207,7202,206,0,silica
619,7161,2713,343,2728,0,silica
620,7091,3977,7203,4306,0,silica
621,7204,6757,7205,7206,0,silica
622,7207,7208,7209,7210,0,silica
623,7091,7135,7111,7203,0,silica
624,7211,7212,7213,7214,0,silica
625,7215,7216,3589,1535,0,silica
626,5703,4938,5711,6092,0,silica
627,7217,7218,7180,7219,0,silica
628,7220,7221,7222,7223,0,silica
629,7224,7225,7226,7227,0,silica
630,7228,3704,3705,3703,0,silica
631,7229,7230,7231,3591,0,silica
632,7092,7095,7094,7232,0,silica
633,6789,6715,7233,6843,0,silica
634,6956,7005,7029,7234,0,silica
635,7096,7235,7236,7203,0,silica
636,7237,7236,7238,7239,0,silica
637,7240,1533,1625,4451,0,silica
638,6913,7241,7242,6911,0,silica
639,7243,4052,3696,4051,0,silica
640,7244,7206,7245,7140,0,silica
641,7216,1534,7246,3978,0,silica
642,7092,7094,7247,7232,0,silica
643,7248,6826,7249,7250,0,silica
644,7251,7252,7253,7254,0,silica
