field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
128,1302,3.17443242383282420e-01,3.17443242402734083e-01,1.94516625029450552e-11
129,1303,3.12144992134804400e-01,3.12144992149090916e-01,1.42865164143302081e-11
130,1304,3.06828060378769252e-01,3.06828060402985714e-01,2.42164621688800707e-11
131,1305,3.01500697264868833e-01,3.01500697294580899e-01,2.97120661407745956e-11
132,1306,2.96202265310526625e-01,2.96202265377105756e-01,6.65791310971997063e-11
133,1307,2.90886597386904477e-01,2.90886597475338571e-01,8.84340933815508379e-11
134,1308,2.85573648537379543e-01,2.85573648614533382e-01,7.71538388733006286e-11
135,1309,2.80254198878884864e-01,2.80254198946120914e-01,6.72360500608704115e-11
136,1310,2.74935515663715380e-01,2.74935515742500136e-01,7.87847564964749836e-11
137,1311,2.69630746863125881e-01,2.69630746952998379e-01,8.98724983322551907e-11
138,1312,2.64321387883140357e-01,2.64321387991833301e-01,1.08692943534549613e-10
139,1313,2.59013025452436152e-01,2.59013025546687869e-01,9.42517175417378894e-11
140,1314,2.53687405924239107e-01,2.53687406035952856e-01,1.11713749362252202e-10
141,1315,2.48377954395250677e-01,2.48377954525828615e-01,1.30577937351716855e-10
142,1316,2.43050932566554939e-01,2.43050932712422924e-01,1.45867984358005742e-10
143,1317,2.37754914199043099e-01,2.37754914369642439e-01,1.70599340210131345e-10
144,1318,2.32429383260463529e-01,2.32429383431287884e-01,1.70824354661647249e-10
145,1319,2.27104522305728446e-01,2.27104522475460396e-01,1.69731950716567326e-10
146,1320,2.21788368103494504e-01,2.21788368216038034e-01,1.12543530050857044e-10
147,1321,2.16488973053984596e-01,2.16488973127022255e-01,7.30376592539272451e-11
148,1322,2.11173453083600859e-01,2.11173453191626254e-01,1.08025394185418122e-10
149,1323,2.05875576669952237e-01,2.05875576787077019e-01,1.17124782095245905e-10
150,1324,2.00536456621181358e-01,2.00536456730812884e-01,1.09631526079567720e-10
151,1325,1.95238202567726893e-01,1.95238202666441041e-01,9.87141479669162436e-11
152,1326,1.89914671275799085e-01,1.89914671358261788e-01,8.24627033324532022e-11
153,1327,1.84604914187246699e-01,1.84604914241607104e-01,5.43604050662338523e-11
154,1328,1.79302267551756128e-01,1.79302267521079917e-01,-3.06762115709346972e-11
155,1329,1.73973206279006753e-01,1.73973206217552440e-01,-6.14543138599543681e-11
156,1330,1.68655138464985088e-01,1.68655138420878814e-01,-4.41062741884934439e-11
157,1331,1.63338117415950945e-01,1.63338117373640873e-01,-4.23100721125280188e-11
158,1332,1.58039311660361004e-01,1.58039311627342111e-01,-3.30188931751962400e-11
159,1333,1.52726685438367399e-01,1.52726685431246401e-01,-7.12099823552136968e-12
160,1334,1.47412313349103929e-01,1.47412313399798378e-01,5.06944486389215854e-11
161,1335,1.42087715994583585e-01,1.42087716116495982e-01,1.21912396844336968e-10
162,1336,1.36772652735692529e-01,1.36772652938493305e-01,2.02800776172296082e-10
163,1337,1.31459045721608880e-01,1.31459045951711095e-01,2.30102215059702075e-10
164,1338,1.26161343706731044e-01,1.26161343873551574e-01,1.66820529612365931e-10
165,1339,1.20853845299822085e-01,1.20853845366887064e-01,6.70649785705634827e-11
166,1340,1.15518196558695913e-01,1.15518196491919523e-01,-6.67763899730999810e-11
167,1341,1.10225831638793459e-01,1.10225831490530848e-01,-1.48262610522031935e-10
